patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s1_z5184_y2688_x4992,3.882,0.2164,0.0387,0.1509,0.0214,1666
s1_z10560_y4480_x3200,3.875,0.2484,0.0303,0.1593,0.0127,11960
s1_z1728_y2304_x2880,3.861,0.2354,0.0294,0.1401,0.0189,2370
s1_z5952_y2688_x4992,3.857,0.2246,0.0237,0.1336,0.01,1830
s1_z5760_y3264_x4224,3.818,0.2609,0.0411,0.1519,0.0167,2450
s1_z4992_y2496_x4608,3.815,0.2529,0.0512,0.1649,0.024,1727
s1_z5568_y3264_x4224,3.807,0.2173,0.0259,0.1398,0.0077,3905
s1_z8960_y3072_x3840,3.783,0.2406,0.04,0.1466,0.0187,5209
s1_z6144_y2688_x3264,3.779,0.2522,0.0375,0.1574,0.0173,3224
s1_z8448_y3328_x3840,3.774,0.228,0.0391,0.153,0.0161,6006
s1_z5760_y2688_x4992,3.773,0.2434,0.0309,0.1683,0.01,1453
s1_z384_y2688_x3264,3.771,0.2309,0.0323,0.1426,0.009,3705
s1_z5760_y2304_x4416,3.771,0.2179,0.041,0.123,0.0132,3732
s1_z192_y2496_x5184,3.768,0.2506,0.0398,0.1623,0.0215,1691
s1_z8448_y3584_x3840,3.759,0.2425,0.0414,0.1403,0.0163,6694
s1_z9216_y2560_x2816,3.756,0.2266,0.0244,0.1416,0.0106,7353
s1_z7168_y3328_x4608,3.754,0.2342,0.0385,0.1506,0.0161,5703
s1_z8704_y4096_x3328,3.744,0.2421,0.0404,0.1475,0.0158,7078
s1_z2304_y2304_x4608,3.736,0.2238,0.0387,0.1596,0.0215,2734
s1_z2304_y2304_x4992,3.732,0.2167,0.0265,0.1386,0.0092,2262
s1_z576_y2304_x3072,3.732,0.2517,0.0374,0.1574,0.0122,2743
s1_z768_y2112_x4608,3.731,0.2348,0.0401,0.1494,0.0262,2492
s1_z7936_y3328_x4352,3.73,0.2293,0.0266,0.1422,0.0059,3893
s1_z10560_y2560_x2880,3.729,0.2682,0.0357,0.1451,0.0114,10913
s1_z4608_y2496_x2880,3.713,0.1811,0.0091,0.1127,0.0087,2696
s1_z5952_y3072_x4416,3.712,0.2313,0.035,0.1517,0.0265,1408
s1_z10240_y2880_x2560,3.71,0.2287,0.0271,0.1395,0.0112,13915
s1_z7424_y3072_x3840,3.709,0.2051,0.0289,0.1356,0.0119,6873
s4_z2048_y1024_x2560,3.709,0.1479,0.0087,0.0909,-0.0002,2611
s1_z1152_y2112_x2688,3.708,0.2108,0.0388,0.1219,0.0172,3303
s1_z5568_y2688_x2880,3.707,0.2264,0.0228,0.1367,0.0082,2657
s1_z9472_y2816_x2816,3.7,0.2345,0.0327,0.1427,0.0146,8240
