patch,median_move_vox,meijering_snap,meijering_random,raw_ct_snap,raw_ct_random,medial_points
s1_z5568_y2880_x4224,3.004,0.2031,0.0187,0.1235,-0.0029,2174
s4_z1792_y1536_x1024,3.003,0.1153,0.006,0.0393,-0.0042,4116
s1_z5760_y2304_x2304,3.0,0.1563,0.0192,0.1159,0.0117,2774
s1_z960_y2112_x4992,2.991,0.1923,0.0307,0.1085,0.016,2085
s4_z9728_y2304_x1792,2.99,0.123,0.0085,0.0555,0.0029,5419
s1_z1344_y1920_x4416,2.981,0.2007,0.036,0.0976,0.0032,3232
s1_z576_y2880_x3264,2.981,0.1827,0.0179,0.116,0.0104,2455
s4_z8960_y1024_x1792,2.98,0.0986,0.0028,0.052,-0.0004,5183
s4_z3072_y1024_x2304,2.978,0.1397,0.0108,0.0619,0.0026,4315
s1_z4992_y2304_x4992,2.975,0.1735,0.0225,0.1109,0.0038,2715
s1_z5568_y2880_x2880,2.972,0.1801,0.0097,0.1152,-0.0007,3345
s1_z8960_y4096_x4096,2.972,0.1642,0.0237,0.0942,0.0094,8849
s1_z11840_y3840_x3840,2.966,0.1799,0.0293,0.0987,0.0106,10308
s1_z5568_y2688_x3072,2.965,0.1772,0.0061,0.0853,0.0003,3028
s1_z6720_y4032_x3456,2.964,0.1593,0.0185,0.1078,0.0067,2654
s1_z960_y2304_x2880,2.963,0.1763,0.0127,0.1016,0.0027,3159
s4_z3328_y1024_x2304,2.963,0.1152,0.0078,0.056,-0.0006,4460
s1_z4992_y2496_x4416,2.961,0.1414,0.0182,0.099,0.0105,1842
s1_z5568_y3072_x4416,2.961,0.1864,0.0146,0.11,0.0055,1614
s1_z9600_y3200_x2560,2.961,0.1694,0.0226,0.1093,0.0047,13571
s4_z1536_y1280_x2560,2.961,0.1451,0.0142,0.0631,-0.0009,4186
s4_z2048_y1280_x1024,2.961,0.1037,0.0007,0.0421,-0.0021,4464
s1_z10240_y2560_x2560,2.96,0.1597,0.0228,0.0941,0.0077,12125
s1_z4416_y2304_x4608,2.96,0.1802,0.0315,0.128,0.0137,2276
s1_z5568_y3072_x4800,2.958,0.1572,0.025,0.0866,0.0037,2745
s1_z5568_y2688_x4416,2.957,0.1909,0.0225,0.1051,0.0015,2242
s1_z8704_y4096_x3584,2.956,0.1633,0.0142,0.0977,0.0024,8605
s1_z4800_y2304_x4800,2.955,0.1419,0.0182,0.0919,0.0033,3358
s1_z9920_y2880_x3520,2.951,0.142,0.0207,0.0803,0.0073,19728
s1_z8704_y3584_x3840,2.949,0.1632,0.0246,0.1045,0.0094,6968
s1_z8192_y3840_x3328,2.948,0.1887,0.0343,0.1232,0.0141,5269
s1_z7424_y3584_x4096,2.946,0.1596,0.0215,0.103,0.0106,6844
s1_z1152_y1728_x4032,2.944,0.1566,0.0291,0.1007,0.0163,2745
s1_z576_y2496_x3072,2.944,0.1681,0.0179,0.111,0.0095,5401
s1_z10560_y3520_x3520,2.941,0.1594,0.0237,0.0887,0.0067,10415
s1_z9216_y2816_x3840,2.94,0.1653,0.0222,0.0895,0.0059,8282
s1_z9472_y3840_x4096,2.937,0.143,0.0189,0.0796,0.001,6209
s4_z2816_y768_x1792,2.937,0.101,0.0076,0.0396,0.0004,7924
s4_z3328_y768_x2560,2.935,0.1325,-0.0032,0.0724,0.0002,4781
s1_z10240_y2560_x3200,2.933,0.1614,0.0255,0.1125,0.0128,18203
s4_z2304_y1024_x2304,2.931,0.1298,0.0115,0.0592,-0.0005,4624
s4_z2816_y1024_x2304,2.931,0.0964,0.0052,0.0478,-0.0003,4919
s4_z9472_y2304_x2048,2.931,0.1028,0.0126,0.0636,0.0065,3812
s1_z5568_y3072_x4608,2.929,0.1502,0.0133,0.0814,0.0028,2802
s1_z6336_y3072_x4800,2.927,0.1736,0.0184,0.1061,0.0038,2536
s1_z7424_y3328_x4608,2.926,0.1885,0.0198,0.1084,0.0073,6400
s1_z384_y2880_x3264,2.921,0.1712,0.0178,0.0962,0.0035,2821
s1_z4608_y2112_x2496,2.921,0.1466,0.0221,0.1058,0.0096,3241
s4_z2048_y1792_x1280,2.92,0.1163,0.0055,0.0534,-0.0008,6708
s1_z7168_y3328_x4352,2.919,0.1759,0.0247,0.0935,0.0055,6931
s1_z9920_y3840_x3840,2.918,0.1513,0.0249,0.0791,0.01,13490
s4_z2560_y512_x2560,2.918,0.1538,0.0075,0.0664,0.0032,6953
s1_z11200_y3520_x3840,2.917,0.1615,0.0245,0.0907,0.0082,12920
s4_z2560_y1536_x2048,2.916,0.1289,0.0045,0.0559,-0.0003,5054
s1_z1920_y1728_x4224,2.915,0.1493,0.0151,0.0789,-0.0016,3922
s1_z5952_y2880_x4800,2.913,0.158,0.0235,0.0925,0.0113,2375
s4_z6144_y2048_x2560,2.91,0.1261,0.0072,0.0804,0.0011,5071
s4_z1792_y1024_x2560,2.908,0.0904,0.0095,0.0572,0.0019,2429
s4_z8192_y2304_x2304,2.907,0.1222,-0.0026,0.0536,-0.0035,5765
s1_z1152_y2496_x4992,2.906,0.1573,0.0313,0.0906,0.0128,1904
s1_z576_y2304_x2880,2.906,0.1623,0.0118,0.0814,0.0061,2775
s1_z1920_y2304_x2688,2.904,0.1796,0.0125,0.1061,-0.004,2877
s4_z6656_y2304_x2560,2.904,0.1445,0.0031,0.0661,-0.0041,5158
s4_z4352_y1792_x2304,2.902,0.1475,0.0028,0.0784,-0.0052,4587
s1_z7168_y3072_x3840,2.899,0.1625,0.0229,0.0811,0.0044,9732
s4_z5632_y2304_x2560,2.899,0.1498,0.0136,0.0732,0.0007,5611
s1_z12480_y5120_x2880,2.898,0.1829,0.0137,0.0975,0.0041,10868
s4_z3840_y1024_x2304,2.898,0.1631,0.0109,0.0893,0.0007,3872
s1_z768_y2112_x4992,2.896,0.1559,0.0244,0.1038,0.0147,2964
s4_z4608_y1536_x2304,2.896,0.1383,0.0022,0.0651,-0.0038,4549
s1_z4992_y2496_x4992,2.895,0.1903,0.0352,0.1151,0.0134,2195
s1_z9472_y2560_x3328,2.89,0.1633,0.0138,0.0889,0.0037,10582
s1_z11200_y4480_x3200,2.886,0.1598,0.0269,0.089,0.0073,17780
s1_z2112_y2496_x4800,2.884,0.1473,-0.0078,0.0738,-0.0103,2294
s4_z5376_y2304_x2560,2.884,0.1556,0.0085,0.0595,-0.0047,5674
s1_z11520_y3520_x3520,2.883,0.1604,0.0194,0.0894,0.0069,16402
s1_z9216_y2560_x3072,2.88,0.1617,0.0178,0.087,0.0081,6913
s4_z6912_y1536_x768,2.88,0.1089,0.0077,0.0687,0.0046,7176
s4_z1536_y1792_x1024,2.879,0.0989,0.0016,0.0518,-0.0017,4722
s4_z1792_y512_x1792,2.875,0.1111,0.0021,0.0518,-0.0042,6675
s1_z7936_y3584_x4096,2.873,0.1488,0.0191,0.0936,0.0053,6809
s1_z5760_y3072_x4416,2.866,0.1503,0.0124,0.1177,0.0012,1311
s1_z11200_y4800_x3200,2.865,0.156,0.0194,0.109,0.0093,14110
s4_z2560_y1024_x2816,2.865,0.0593,0.0041,0.033,0.0001,4331
s1_z4608_y2880_x3072,2.864,0.1276,0.0124,0.0685,0.0004,4024
s4_z7424_y2048_x2048,2.861,0.1362,-0.0109,0.0706,-0.0115,4988
s1_z9600_y2560_x3200,2.857,0.1581,0.0204,0.0876,0.0038,19257
s4_z3328_y768_x2304,2.856,0.1064,0.0047,0.0594,-0.0017,6623
s4_z1536_y512_x2304,2.854,0.1368,0.0126,0.0654,0.0009,5383
s4_z5888_y1024_x1024,2.854,0.1089,0.0057,0.0469,-0.0036,3463
s1_z7168_y2816_x3584,2.852,0.1461,0.0095,0.0862,0.0025,7961
s1_z9216_y2304_x2560,2.852,0.1625,0.0244,0.1023,0.0097,5411
s1_z1728_y2688_x3072,2.851,0.142,0.0025,0.0687,-0.0097,2249
s4_z8704_y2048_x2560,2.851,0.1697,0.009,0.1075,0.006,3087
s1_z10560_y3200_x3840,2.849,0.1522,0.0139,0.0911,0.0027,16179
s1_z8960_y2816_x2816,2.849,0.1813,0.0253,0.116,0.0057,5581
s1_z6528_y3456_x2688,2.845,0.1478,0.017,0.0791,0.0035,4085
s1_z9472_y2560_x3584,2.845,0.1734,0.0252,0.1037,0.014,11359
s4_z3072_y768_x1280,2.835,0.1314,-0.0014,0.0481,-0.0022,6516
s4_z5632_y1024_x1280,2.835,0.0917,0.0038,0.0515,0.0023,5182
s4_z4352_y1792_x2560,2.83,0.1016,0.0072,0.0504,0.0006,4956
s1_z4416_y3072_x3264,2.829,0.149,0.0121,0.0863,0.0028,2901
s1_z5376_y3456_x4416,2.824,0.1499,0.0099,0.0943,-0.0004,4019
s4_z8704_y2048_x2304,2.824,0.1222,0.0038,0.0702,0.0005,4556
s1_z10240_y3200_x3520,2.819,0.1376,0.0162,0.0777,0.0094,14788
s1_z4416_y2496_x4608,2.819,0.1274,0.0015,0.0953,-0.0063,2695
s1_z9920_y3520_x4160,2.818,0.159,0.018,0.0957,0.0064,8534
s4_z1536_y1280_x2816,2.816,0.082,0.0044,0.0516,-0.0015,5350
s1_z6912_y3840_x3328,2.814,0.1318,0.0137,0.0861,0.0029,10840
s1_z4992_y2496_x4800,2.813,0.1465,0.0133,0.0807,-0.0024,2538
s1_z1536_y2304_x2688,2.812,0.1839,0.0019,0.1194,0.002,2224
s1_z6720_y3648_x2880,2.812,0.1486,0.0094,0.0817,0.0021,2917
s1_z4800_y2304_x2496,2.81,0.1586,0.0145,0.0943,0.0007,1389
s1_z5952_y2304_x3264,2.81,0.1239,0.0147,0.0761,0.0057,6169
s4_z2048_y1024_x2304,2.81,0.151,0.0158,0.0856,0.0046,4035
s1_z12480_y4480_x3520,2.809,0.1572,0.0191,0.0831,0.0053,18583
s4_z1536_y1024_x1024,2.809,0.0514,-0.0064,0.0308,-0.0041,4838
s1_z11840_y4800_x2880,2.807,0.1607,0.0142,0.096,0.0087,20793
s1_z6144_y2496_x3840,2.807,0.1853,0.0272,0.0932,0.0058,3512
s1_z7168_y2560_x2816,2.806,0.1584,0.0122,0.0859,0.004,6753
s1_z7168_y3584_x4352,2.805,0.1535,0.0184,0.0834,0.0014,5823
s1_z11520_y3200_x2240,2.803,0.146,0.0143,0.0919,0.0076,13535
s1_z6720_y3840_x3264,2.801,0.1481,0.0188,0.0848,0.0037,5022
s1_z1728_y2496_x4608,2.797,0.1687,0.0199,0.1084,0.0077,3595
s1_z5568_y2496_x2304,2.797,0.1483,0.0043,0.1037,0.0079,3035
s4_z2048_y1024_x1024,2.797,0.0794,-0.0007,0.0459,-0.0013,6902
s1_z5568_y2688_x4608,2.796,0.1661,0.0028,0.1018,-0.005,1989
s1_z12160_y5120_x2880,2.792,0.1558,0.0119,0.0939,0.0042,13459
s1_z6912_y3584_x4608,2.791,0.1497,0.0126,0.0857,-0.0015,7789
s4_z8960_y1792_x2304,2.789,0.1218,0.0105,0.0589,0.0017,4660
s1_z192_y2304_x4992,2.787,0.1858,0.0195,0.0956,0.004,2977
s1_z5952_y2304_x3072,2.786,0.1519,0.0209,0.0953,0.0119,4771
s1_z4608_y2496_x4992,2.782,0.1715,0.0244,0.1105,0.0118,2002
s4_z7680_y2304_x2304,2.782,0.118,-0.0028,0.0502,-0.0037,2715
s1_z2112_y2496_x4416,2.78,0.1668,0.0191,0.0943,-0.002,3608
s1_z8960_y3328_x3840,2.78,0.1481,0.014,0.0875,0.0008,6137
s1_z6720_y3648_x4800,2.779,0.1549,0.0187,0.0871,0.0004,3154
s4_z2304_y768_x2304,2.779,0.0959,0.0094,0.0592,0.0044,4923
s4_z6144_y2048_x2304,2.778,0.0913,0.0019,0.0452,-0.0017,4243
s4_z7680_y2048_x2560,2.772,0.1322,0.0016,0.0806,0.0016,3956
s1_z1344_y1728_x4416,2.771,0.1786,0.0289,0.112,0.0065,3361
s1_z9920_y4160_x3520,2.77,0.1601,0.0193,0.094,0.0055,19156
s4_z5120_y2048_x2560,2.768,0.138,-0.0002,0.0668,-0.0029,5091
s1_z4800_y2688_x2880,2.764,0.1266,0.0166,0.0725,0.0023,4407
s1_z5760_y3456_x4608,2.763,0.1527,0.0218,0.0917,0.0067,3705
s4_z6912_y1536_x1280,2.763,0.0941,0.0083,0.0609,0.0032,4579
s1_z1344_y1728_x4224,2.759,0.1838,0.0309,0.1047,0.0066,2410
s1_z6144_y2496_x4224,2.759,0.1485,0.0204,0.0923,0.0042,3527
s4_z1280_y1024_x1024,2.759,0.1123,0.0015,0.0463,-0.0012,4178
s4_z7936_y2048_x2560,2.759,0.0999,0.0003,0.0606,0.0015,4890
s4_z8192_y2048_x2048,2.759,0.1576,-0.0008,0.0793,-0.0102,4313
s1_z12160_y3520_x3520,2.758,0.1224,0.0194,0.0706,0.0078,18443
s4_z6400_y1536_x2304,2.757,0.153,0.0113,0.0529,-0.0013,6885
s1_z10240_y4160_x2880,2.756,0.1389,0.0095,0.0733,0.0018,15642
s1_z3456_y2496_x3072,2.755,0.1534,0.0183,0.078,0.003,2302
s1_z4032_y2688_x2688,2.754,0.1422,0.0167,0.0761,0.0058,2524
s4_z3328_y2304_x1280,2.753,0.0929,-0.004,0.0519,-0.0041,3288
s4_z6144_y1792_x2560,2.753,0.0815,0.0031,0.0361,-0.0019,6802
s1_z9472_y2560_x2304,2.752,0.1805,0.0184,0.1207,0.0083,4621
s1_z9472_y2560_x3840,2.752,0.1862,0.0312,0.1051,0.0104,8022
s4_z2560_y1792_x1024,2.751,0.1041,0.0034,0.0513,-0.0023,4677
s1_z10240_y4480_x2880,2.749,0.1838,0.0142,0.0992,0.0038,15949
s1_z5760_y2304_x2880,2.748,0.1562,0.0135,0.1003,0.0069,3418
s1_z1920_y2496_x4608,2.746,0.2007,0.0314,0.1093,0.0045,3377
s1_z8192_y3584_x4096,2.744,0.1456,0.0173,0.0851,0.0038,10922
s1_z5760_y3072_x3072,2.741,0.1415,0.0131,0.0872,0.0048,2929
s1_z5568_y3264_x3456,2.74,0.2038,0.0274,0.1118,0.0073,3564
s4_z5632_y1024_x1024,2.74,0.097,-0.0042,0.0573,-0.0102,2187
s4_z8448_y1280_x512,2.74,0.141,0.0042,0.0777,0.0003,4733
s4_z8960_y1280_x2304,2.74,0.149,0.0007,0.0903,-0.0028,6069
s1_z5952_y3264_x4992,2.739,0.1417,0.023,0.0727,0.0072,2649
s4_z3328_y512_x2304,2.739,0.1428,0.0125,0.0581,0.0004,6108
s1_z576_y3072_x4032,2.737,0.1342,0.0226,0.0825,0.0079,3230
s1_z960_y2112_x2880,2.737,0.1592,0.02,0.0963,0.0088,3240
s4_z3072_y1024_x1024,2.737,0.0761,-0.0054,0.0441,-0.0032,6878
s4_z6144_y1024_x1280,2.736,0.0618,-0.0136,0.0332,-0.0083,2302
s4_z9216_y1024_x2048,2.736,0.104,0.0056,0.0462,0.0007,6691
s1_z4992_y2688_x4608,2.735,0.1686,0.0131,0.0872,0.0012,2470
s1_z5376_y2880_x4416,2.734,0.1718,0.0296,0.115,0.0112,1884
s4_z2560_y2048_x1536,2.733,0.1142,0.0131,0.0593,0.0017,5737
s4_z7168_y1792_x768,2.731,0.1151,-0.0003,0.0647,0.0008,6908
s1_z6144_y2112_x3648,2.73,0.15,0.0219,0.0834,0.0059,2485
s1_z1728_y2304_x2688,2.727,0.1806,0.0072,0.0979,-0.0028,2464
s1_z6336_y3456_x4608,2.725,0.1266,0.0199,0.0776,0.0016,2435
s4_z2816_y1792_x2048,2.72,0.1067,0.0128,0.0576,0.0037,4923
s1_z6912_y3328_x4352,2.718,0.1454,0.0182,0.0797,0.0071,7854
s1_z8704_y2560_x2560,2.718,0.148,0.0094,0.084,-0.0027,8271
s1_z5568_y3264_x4608,2.716,0.1172,0.0037,0.0821,-0.0007,2944
s1_z5760_y2496_x2880,2.715,0.1729,0.0073,0.1013,-0.0023,3452
s1_z4032_y2496_x4416,2.714,0.1692,0.0225,0.0933,0.0016,3608
s4_z4864_y1024_x2304,2.714,0.1472,0.0024,0.0755,-0.0045,7433
s1_z5952_y2688_x4800,2.712,0.1588,0.03,0.1119,0.0163,2148
s4_z1536_y1792_x1280,2.712,0.1324,0.0001,0.0583,-0.0087,5433
s4_z1536_y512_x2048,2.71,0.1045,0.0071,0.0491,0.0018,4420
s4_z3072_y2304_x1280,2.709,0.1166,-0.0001,0.0656,-0.0025,3334
s4_z9472_y1024_x2304,2.706,0.1346,0.0016,0.0721,-0.0004,6050
s1_z192_y2688_x4800,2.705,0.1731,0.0153,0.0773,-0.0006,4046
s1_z4800_y2304_x4992,2.705,0.1379,0.0153,0.0845,0.0029,2241
s4_z3840_y768_x2304,2.705,0.1029,-0.0014,0.0529,-0.0008,6343
s4_z9472_y1792_x2048,2.705,0.1399,0.0031,0.0712,-0.0012,5632
s1_z11840_y4480_x3200,2.703,0.1297,0.0157,0.0835,0.0068,20385
s1_z5760_y2880_x4608,2.701,0.1895,0.0241,0.1362,0.0121,1585
s4_z2304_y1280_x1024,2.699,0.0865,0.0038,0.0543,-0.0002,4978
s1_z5568_y2496_x3072,2.694,0.1812,0.0386,0.1374,0.0236,4225
s4_z9472_y1536_x2048,2.693,0.1037,-0.002,0.0511,-0.0036,5801
s4_z5888_y2048_x2560,2.692,0.1413,0.004,0.0677,0.0008,4586
s1_z12480_y5120_x3200,2.691,0.1504,0.0148,0.0876,0.0025,17606
s1_z2112_y2112_x4800,2.691,0.1458,0.0099,0.0845,-0.0041,2436
s4_z2560_y768_x2304,2.687,0.1213,0.0157,0.0608,0.0058,4554
s1_z960_y2496_x3072,2.686,0.1619,0.0218,0.0975,0.0101,4310
s4_z2560_y512_x2304,2.686,0.0905,0.0098,0.05,0.0038,5513
s1_z4800_y2304_x2688,2.685,0.1374,-0.004,0.0817,-0.0038,2421
s1_z5952_y2496_x4416,2.684,0.1508,0.0197,0.0965,0.014,3915
s4_z9984_y256_x1280,2.684,0.1071,0.0032,0.0582,0.0012,10481
s1_z12160_y5120_x3200,2.683,0.1364,0.013,0.0842,0.0044,20559
s1_z9920_y4160_x3200,2.679,0.1405,0.0138,0.0801,0.0039,12327
s4_z4096_y1792_x2560,2.679,0.1383,0.0109,0.0767,0.0009,5330
s1_z2112_y2688_x4608,2.678,0.1413,0.003,0.0795,-0.0051,2781
s1_z1152_y2880_x3264,2.676,0.1639,0.0185,0.0936,0.0073,2843
s4_z9472_y768_x512,2.676,0.1216,-0.0015,0.0598,-0.0062,3960
s4_z1280_y1280_x2560,2.672,0.0988,0.0056,0.0416,-0.0004,4085
s4_z1536_y1536_x2560,2.667,0.1251,0.0086,0.0473,-0.0045,4787
s1_z5952_y2112_x3648,2.666,0.1407,0.0192,0.0768,0.0057,2592
s4_z1792_y1280_x1024,2.666,0.0707,-0.0015,0.0368,-0.0014,4701
s4_z2816_y768_x2304,2.665,0.1206,0.0133,0.0665,0.0037,4873
s1_z960_y2112_x4800,2.664,0.1459,0.0184,0.098,0.0074,3475
s4_z1792_y1536_x2560,2.664,0.072,0.0025,0.0372,0.0003,5181
s1_z5952_y2880_x3072,2.663,0.1694,0.0126,0.1128,0.0116,2647
s1_z960_y2496_x4800,2.661,0.1466,0.0107,0.077,0.0025,1995
s4_z6912_y1792_x512,2.661,0.089,-0.0081,0.0439,-0.0044,5531
s1_z4416_y2112_x4800,2.659,0.1288,0.019,0.0776,0.009,4169
s1_z8704_y4352_x3328,2.659,0.1466,0.0054,0.0827,-0.0011,5957
s1_z4416_y2304_x4800,2.656,0.1663,0.0155,0.0912,0.0016,2158
s1_z6528_y3840_x3264,2.655,0.1551,0.0072,0.081,-0.007,4208
s1_z384_y2304_x3072,2.653,0.1627,0.0064,0.0922,-0.0025,2023
s4_z3584_y2304_x1024,2.648,0.0896,-0.0048,0.0499,-0.005,5086
s1_z8192_y4096_x3072,2.647,0.1548,0.0149,0.0838,0.004,9133
s4_z8192_y1792_x2560,2.646,0.119,0.0007,0.073,-0.0014,3525
s1_z384_y2688_x3072,2.645,0.1543,0.0174,0.0937,0.0045,3389
s1_z9600_y4160_x3200,2.644,0.1587,0.0183,0.089,0.007,15137
s4_z2304_y512_x2560,2.642,0.08,-0.0021,0.0357,-0.0004,7023
s4_z4096_y2048_x1280,2.642,0.0896,-0.0196,0.053,-0.0097,5722
s1_z7424_y3584_x4352,2.64,0.1263,0.0145,0.063,-0.0003,7646
s4_z9472_y768_x768,2.64,0.1253,-0.006,0.0707,-0.0043,6630
s4_z2560_y768_x2560,2.639,0.0923,0.0068,0.0514,0.0011,4606
s1_z2304_y2496_x4608,2.638,0.1227,0.0073,0.0647,-0.0015,4230
s4_z9216_y1792_x2304,2.638,0.0903,0.0038,0.0524,-0.0006,5734
s1_z8448_y3328_x4352,2.637,0.1459,0.022,0.0797,0.0108,8085
s1_z4800_y2688_x4800,2.635,0.1182,0.0089,0.0767,-0.0013,2673
s4_z5376_y1536_x2560,2.635,0.1071,0.0016,0.0482,-0.0039,8303
s4_z6400_y1792_x2304,2.635,0.127,-0.01,0.049,-0.01,4464
s1_z8192_y3328_x4352,2.633,0.1439,0.0154,0.0826,0.0,9297
s1_z8448_y3072_x3840,2.632,0.1377,0.0166,0.077,0.0041,8345
s1_z4224_y2112_x4608,2.629,0.1412,0.0103,0.0892,0.0068,4018
s4_z3072_y768_x2048,2.629,0.081,0.0095,0.0478,0.0018,6541
s1_z4800_y2304_x4416,2.628,0.1459,0.0157,0.0933,0.0062,2651
s1_z5184_y2496_x4608,2.626,0.1609,0.0221,0.0838,0.0055,3584
s1_z8448_y4352_x3840,2.624,0.1535,0.0196,0.101,0.0104,6044
s4_z2048_y768_x2304,2.624,0.0662,0.003,0.0418,0.002,5661
s4_z5632_y2048_x2560,2.624,0.1111,-0.0067,0.0551,-0.0045,4085
s1_z5760_y2304_x3072,2.622,0.1123,0.0104,0.0772,0.0048,4609
s1_z1152_y2112_x2880,2.62,0.128,0.0139,0.0878,0.0089,3782
s1_z1920_y2688_x4608,2.62,0.161,0.0055,0.0703,-0.0047,2091
s1_z9600_y2880_x2560,2.619,0.1563,0.0061,0.0894,-0.0007,15161
s1_z5760_y3456_x4800,2.617,0.1362,0.0144,0.0972,0.0063,3582
s1_z1344_y2688_x3072,2.611,0.1594,0.0104,0.0975,-0.0009,2427
s1_z6720_y3840_x4416,2.611,0.1796,0.0338,0.1156,0.0149,3947
s1_z4800_y2688_x2688,2.609,0.1238,0.0147,0.0805,0.0068,4245
s4_z2816_y1280_x2304,2.609,0.1323,0.0056,0.0547,-0.0041,4623
s1_z10240_y3200_x2560,2.608,0.1371,0.0159,0.0828,0.0057,12906
s4_z3328_y768_x1792,2.608,0.1305,0.0109,0.0754,0.0048,8066
s4_z3584_y2304_x1280,2.608,0.0956,0.0059,0.0568,0.002,4215
s1_z6528_y3840_x3072,2.607,0.1545,0.0212,0.0802,0.0075,3741
s4_z1536_y1280_x1024,2.606,0.104,-0.0012,0.0466,-0.0043,3699
s1_z5568_y2880_x2688,2.605,0.1412,0.007,0.0862,0.0032,3109
s1_z2112_y1728_x4032,2.604,0.1169,0.0188,0.073,0.0052,3096
s1_z10560_y4480_x3520,2.603,0.1486,0.0144,0.09,-0.0004,17740
s4_z1536_y1536_x1024,2.603,0.1182,0.0066,0.0503,-0.0011,3826
s4_z9472_y1536_x2304,2.602,0.158,0.0016,0.0905,-0.0022,4538
s1_z960_y2880_x4416,2.6,0.1495,0.0142,0.075,0.0081,2637
s1_z11200_y4480_x2880,2.599,0.1443,0.0165,0.0996,0.0076,15668
s4_z1792_y768_x1280,2.599,0.1082,0.005,0.0466,-0.0003,5148
s1_z1728_y2112_x3072,2.597,0.1561,0.015,0.0805,0.001,6478
s1_z8448_y4096_x4096,2.597,0.1476,0.0197,0.0888,0.009,6940
s4_z4608_y1536_x2560,2.597,0.0852,0.0004,0.0517,0.0011,4997
s1_z10240_y4160_x3840,2.595,0.1443,0.0158,0.0921,0.0013,16902
s4_z4096_y1536_x2560,2.595,0.0993,0.0023,0.0466,-0.0022,5015
s4_z6144_y1536_x1792,2.595,0.1112,0.0005,0.0592,-0.0044,7196
s4_z6144_y1536_x512,2.595,0.1181,-0.0037,0.0639,-0.004,4727
s1_z1920_y2496_x2880,2.592,0.1459,0.026,0.0957,0.0149,2906
s1_z6912_y3840_x3584,2.592,0.1323,0.0209,0.065,0.0056,9111
s4_z5376_y1280_x1536,2.592,0.1043,0.0044,0.05,0.0018,8031
s4_z5632_y2304_x2304,2.591,0.08,-0.0103,0.0387,-0.0068,6555
s1_z192_y2304_x2880,2.588,0.1184,0.0044,0.0907,0.0058,3292
s4_z3072_y2048_x1280,2.588,0.1369,0.0039,0.0659,-0.0046,5905
s4_z7168_y1536_x1280,2.588,0.1205,0.006,0.0574,-0.004,6468
s1_z6720_y3648_x3264,2.586,0.116,0.0169,0.0602,0.0055,4152
s4_z1536_y768_x1536,2.586,0.1386,0.0071,0.0707,0.0033,6035
s4_z3072_y2048_x1536,2.586,0.0644,-0.0009,0.0344,-0.0026,7853
s1_z8960_y3072_x4096,2.585,0.1546,0.0219,0.0905,0.0073,8344
s1_z9472_y2816_x2304,2.585,0.1623,0.0186,0.0944,0.0032,5594
s1_z7168_y2816_x3072,2.583,0.1678,0.0304,0.1052,0.0127,7208
s4_z3840_y1792_x2304,2.58,0.1124,0.0024,0.0499,-0.0009,5502
s4_z4096_y1536_x2304,2.58,0.0774,-0.0029,0.0429,-0.0019,4082
s4_z8448_y1280_x768,2.58,0.0911,-0.003,0.0445,-0.0035,6936
s1_z5568_y2688_x2688,2.579,0.1408,-0.0011,0.0709,-0.0055,3090
s1_z2112_y2496_x4608,2.578,0.163,0.0123,0.0902,-0.0027,3268
s1_z5376_y2880_x4800,2.578,0.1146,0.0096,0.0621,-0.004,4743
s1_z384_y3072_x3840,2.577,0.1409,0.0152,0.0745,0.0034,3375
s1_z8704_y4096_x3072,2.577,0.1351,0.0083,0.0769,-0.0033,8358
s1_z7168_y3840_x3072,2.576,0.1182,0.0132,0.07,0.0026,8871
s1_z5952_y3264_x4800,2.575,0.1379,0.0241,0.0957,0.0145,1712
s4_z6400_y2048_x2560,2.574,0.1056,-0.0001,0.0505,-0.0033,5931
s1_z6720_y3648_x4608,2.573,0.1422,0.0224,0.0794,0.0075,3354
s1_z5760_y2304_x4032,2.568,0.1351,0.0127,0.0675,-0.0018,4758
s4_z5376_y2304_x1280,2.568,0.1157,0.0046,0.0524,-0.004,7147
s1_z10880_y3520_x3840,2.567,0.1328,0.0192,0.0701,0.0078,12372
s1_z7680_y4096_x3328,2.567,0.1396,0.002,0.0841,-0.0037,8216
s1_z3648_y2496_x2496,2.566,0.1396,0.0081,0.0867,-0.0003,2610
s1_z6912_y2688_x2688,2.565,0.1116,0.0097,0.07,0.0063,33515
s1_z12480_y4800_x2560,2.562,0.1341,0.0099,0.0843,0.0034,18305
s1_z384_y2112_x4800,2.559,0.1406,0.0212,0.0762,0.0071,4607
s4_z6400_y1536_x1536,2.557,0.1344,-0.002,0.0733,-0.0033,5419
s1_z1536_y2688_x2880,2.556,0.1147,-0.017,0.0673,-0.0068,2452
s1_z11840_y3200_x2880,2.549,0.1313,0.018,0.0841,0.0096,21317
s1_z5760_y2304_x3840,2.547,0.1218,0.0118,0.0705,0.0023,4894
s4_z4608_y768_x2048,2.547,0.1033,-0.0001,0.0529,-0.0016,7489
s4_z3072_y2048_x1792,2.546,0.1348,0.0072,0.0467,-0.0033,6930
s1_z7680_y4096_x3584,2.543,0.1343,0.0106,0.0872,0.0044,7589
s4_z5632_y1536_x1024,2.541,0.1124,0.0012,0.0616,-0.0019,8019
s1_z2496_y2304_x4992,2.54,0.1357,0.024,0.083,0.0101,2361
s4_z2304_y2048_x1280,2.538,0.0988,0.0031,0.0545,-0.0002,5550
